"Variable","Death_0_No","Death_0_Yes","Death_0_Yes_Pct","Death_1_No","Death_1_Yes","Death_1_Yes_Pct","P_Value"
"atg",737,24,3.2,77,2,2.5,1
"multisite",657,104,13.7,70,9,11.4,0.696129438896735
"kpc",206,555,72.9,34,45,57,0.00424264469269709
"arf",360,401,52.7,18,61,77.2,5.09823183436339e-05
"mv",547,214,28.1,27,52,65.8,1.70135812019843e-11
"reint",483,278,36.5,35,44,55.7,0.00131249909711225
"crepre_60",604,157,20.6,59,20,25.3,0.408179968862701
"multipre",739,22,2.9,78,1,1.3,0.63101296350975
"multipost",697,64,8.4,72,7,8.9,0.999999999999989
"crepost_60",236,525,69,35,44,55.7,0.0226664690725973
"status",511,250,32.9,0,0,0,3.94745875185126e-183
"crestat",511,10,1.3,0,1,1.3,2.54920731520959e-42
